machine_id,ville,type_machine,risque,temperature_C,vibration,pression_bar,age_ans,production_jour,panne,production_par_age,ecart_temperature_type,risque_ordinal
M0001,Abomey-Calavi,Compresseur,Faible,70.6,3.0,6.65,13,21256.0,0,1518.2857142857142,-0.48118811881188606,0
M0002,Cotonou,Moteur,Moyen,65.0,3.37,6.72,10,28487.0,0,2589.7272727272725,-6.482644628099166,1
M0003,Parakou,Pompe,Faible,77.5,3.49,7.11,15,20511.0,0,1281.9375,6.465053763440864,0
M0004,Abomey-Calavi,Pompe,Faible,72.5,3.12,6.98,9,31192.0,0,3119.2,1.4650537634408636,0
M0005,Parakou,Moteur,Moyen,74.1,4.51,6.93,13,9425.0,0,673.2142857142857,2.6173553719008282,1
M0006,Porto-Novo,Pompe,Faible,67.6,4.37,6.99,8,28381.0,0,3153.4444444444443,-3.434946236559142,0
M0007,Parakou,Pompe,Faible,77.0,3.49,7.17,13,28151.0,0,2010.7857142857142,5.965053763440864,0
M0008,Parakou,Pompe,Moyen,76.9,5.4,6.46,4,24687.0,0,4937.4,5.865053763440869,1
M0009,Porto-Novo,Compresseur,Élevé,75.0,5.27,6.06,10,15609.0,0,1419.0,3.9188118811881196,2
M0010,Porto-Novo,Pompe,Faible,66.2,2.23,8.03,16,22725.0,0,1336.764705882353,-4.834946236559134,0
M0011,Parakou,Moteur,Faible,77.6,5.36,7.22,11,14410.0,0,1200.8333333333333,6.117355371900828,0
M0012,Cotonou,Pompe,Moyen,64.8,1.97,6.98,14,29606.0,0,1973.7333333333333,-6.234946236559139,1
M0013,Parakou,Pompe,Faible,60.4,5.36,6.34,11,12083.0,0,1006.9166666666666,-10.634946236559138,0
M0014,Parakou,Moteur,Faible,78.4,2.95,6.99,8,24118.0,0,2679.777777777778,6.91735537190084,0
M0015,Cotonou,Pompe,Élevé,71.2,4.23,7.68,1,17857.0,0,8928.5,0.16505376344086642,2
M0016,Porto-Novo,Moteur,Faible,59.9,3.88,7.8,17,9965.0,0,553.6111111111111,-11.582644628099168,0
M0017,Cotonou,Pompe,Faible,66.8,4.38,7.13,9,23640.0,0,2364.0,-4.234946236559139,0
M0018,Parakou,Moteur,Moyen,72.3,2.02,7.52,2,35122.0,0,11707.333333333334,0.8173553719008311,1
M0019,Abomey-Calavi,Pompe,Moyen,79.7,5.5,7.04,9,31700.0,0,3170.0,8.665053763440866,1
M0020,Cotonou,Pompe,Élevé,70.4,4.55,6.38,6,19579.0,0,2797.0,-0.6349462365591307,2
M0021,Porto-Novo,Compresseur,Moyen,65.9,3.85,6.26,9,23961.0,0,2396.1,-5.181188118811875,1
M0022,Abomey-Calavi,Pompe,Moyen,64.0,5.17,6.08,1,26107.0,0,13053.5,-7.034946236559136,1
M0023,Porto-Novo,Moteur,Faible,61.7,3.56,6.55,5,32305.0,0,5384.166666666667,-9.782644628099163,0
M0024,Porto-Novo,Pompe,Faible,71.2,6.15,7.5,4,24192.0,0,4838.4,0.16505376344086642,0
M0025,Parakou,Moteur,Faible,66.1,3.49,6.72,10,33927.0,0,3084.2727272727275,-5.382644628099172,0
M0026,Cotonou,Pompe,Moyen,76.9,6.14,7.97,6,23332.0,0,3333.1428571428573,5.865053763440869,1
M0027,Cotonou,Compresseur,Faible,66.7,2.75,7.52,5,26413.0,0,4402.166666666667,-4.3811881188118775,0
M0028,Abomey-Calavi,Pompe,Élevé,80.3,3.94,7.37,9,24199.0,0,2419.9,9.26505376344086,2
M0029,Cotonou,Pompe,Moyen,70.5,1.4,6.4,16,23471.0,0,1380.6470588235295,-0.5349462365591364,1
M0030,Cotonou,Compresseur,Faible,72.4,3.9,6.83,10,25679.0,0,2334.4545454545455,1.3188118811881253,0
